URL,Product Name,Brand,Sale Price,MRP
https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-decima-sneakers/309232?swatch=02,BMW M Motorsport Drift Cat Decima Sneakers,Puma,4959,7999.0
https://in.puma.com/in/en/pd/bmw-m-motorsport-ca-pro-shoes/308959?swatch=01,BMW M Motorsport CA Pro Shoes,Puma,6749,8999.0
https://in.puma.com/in/en/pd/conduct-pro-lightweight-running-shoes/312076?swatch=07,Conduct Pro Lightweight Running Shoes,Puma,7199,8999.0
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=02,Badminton Smash Sprint Indoor Sports Shoes,Puma,2749,4999.0
https://in.puma.com/in/en/pd/royalcat-comfort-slides/397694?swatch=01,Royalcat Comfort Slides,Puma,2799,
https://in.puma.com/in/en/pd/mayze-classic-womens-sneakers/384209?swatch=02,Mayze Classic Women's Sneakers,Puma,4159,7999.0
https://in.puma.com/in/en/pd/royalcat-comfort-slides/397694?swatch=02,Royalcat Comfort Slides,Puma,2799,
https://in.puma.com/in/en/pd/bmw-m-motorsport-ca-pro-shoes/308959?swatch=02,BMW M Motorsport CA Pro Shoes,Puma,6749,8999.0
https://in.puma.com/in/en/pd/softride-enzo-evo-running-shoes/377048?swatch=01,SOFTRIDE Enzo Evo Running Shoes,Puma,5249,6999.0
https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=01,Leadcat 2.0 Slides,Puma,1499,2499.0
https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=19,Blktop Rider Suede Sneakers,Puma,5849,8999.0
https://in.puma.com/in/en/pd/royalcat-comfort-softride-daze-womens-slides/397159?swatch=01,Royalcat Comfort Softride Daze Women's Slides,Puma,2999,
https://in.puma.com/in/en/pd/bmw-m-motorsport-trinity-2-sneakers/309287?swatch=04,BMW M Motorsport Trinity 2 Sneakers,Puma,6749,8999.0
https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=06,Wave Flip-Flops,Puma,1159,1999.0
https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=07,Club Kayzer Superior Cushioning Casual Shoes,Puma,4399,5499.0
https://in.puma.com/in/en/pd/puma-softride-seave-platform-flip-flops/391864?swatch=02,PUMA Softride Seave Platform Flip-Flops,Puma,2799,
https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=07,X-Ray 2 Square Retro Style Sneakers,Puma,4239,7999.0
https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=02,Blktop Rider Suede Sneakers,Puma,8099,8999.0
https://in.puma.com/in/en/pd/blktop-rider-vibrant-womens-sneakers/397321?swatch=05,Blktop Rider Vibrant Women's Sneakers,Puma,8099,8999.0
https://in.puma.com/in/en/pd/inverse-parallel-rio-red-casual-sneakers/405820?swatch=01,Inverse Parallel Rio Red Casual Sneakers,Puma,11199,13999.0
https://in.puma.com/in/en/pd/puma-army-trainer-all-day-comfort-sneakers/402701?swatch=02,PUMA Army Trainer All-Day Comfort Sneakers,Puma,5999,7999.0
https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=06,Leadcat 2.0 Slides,Puma,1624,2499.0
https://in.puma.com/in/en/pd/conduct-pro-lightweight-running-shoes/312076?swatch=06,Conduct Pro Lightweight Running Shoes,Puma,8099,8999.0
https://in.puma.com/in/en/pd/softride-enzo-evo-running-shoes/312074?swatch=05,Softride Enzo Evo Running Shoes,Puma,5599,6999.0
https://in.puma.com/in/en/pd/softride-seave-sandals/391860?swatch=01,SOFTRIDE Seave Sandals,Puma,2999,
https://in.puma.com/in/en/pd/speedcat-og-sneakers/398846?swatch=01,Speedcat OG Sneakers,Puma,9999,
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=06,Palermo Sneakers,Puma,6999,
https://in.puma.com/in/en/pd/scuderia-ferrari-drift-cat-decima-2-0-motorsport-sneakers/308395?swatch=05,Scuderia Ferrari Drift Cat Decima 2.0 Motorsport Sneakers,Puma,5999,7999.0
https://in.puma.com/in/en/pd/lafrance-rnr-sneakers/312165?swatch=01,LaFrancé RNR Sneakers,Puma,8999,11999.0
https://in.puma.com/in/en/pd/puma-x-ripndip-inverse-sneakers/403649?swatch=01,PUMA x RIPNDIP Inverse Sneakers,Puma,9599,11999.0
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=06,Palermo Classic Comfort Low Boot Sneakers,Puma,5249,6999.0
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=03,Badminton Smash Sprint Indoor Sports Shoes,Puma,2749,4999.0
https://in.puma.com/in/en/pd/mayze-lux-womens-sneakers/401261?swatch=03,Mayze Lux Women's Sneakers,Puma,4159,7999.0
https://in.puma.com/in/en/pd/porsche-legacy-leadcat-2-0-slides/308857?swatch=03,Porsche Legacy Leadcat 2.0 Slides,Puma,2624,3499.0
https://in.puma.com/in/en/pd/speedcat-og-sneakers/398846?swatch=02,Speedcat OG Sneakers,Puma,9999,
https://in.puma.com/in/en/pd/softride-seave-sandals/391860?swatch=07,SOFTRIDE Seave Sandals,Puma,2999,
https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=06,Blktop Rider Suede Sneakers,Puma,8099,8999.0
https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=04,Wave Flip-Flops,Puma,1159,1999.0
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=02,Palermo Sneakers,Puma,6999,
https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=03,Softride Pro 24 V Slides,Puma,3799,
